,node.objClass,pedestrian_count,node.serialno,node.time,date,year,month,day,location
125,pedestrian,3543.0,SWLSANDBOX1,2019-06-25T00:00:00-05:00,2019-06-25,2019,06,25,streetscape
126,pedestrian,1668.0,SWLSANDBOX1,2019-06-26T00:00:00-05:00,2019-06-26,2019,06,26,streetscape
127,pedestrian,1796.0,SWLSANDBOX1,2019-06-27T00:00:00-05:00,2019-06-27,2019,06,27,streetscape
128,pedestrian,3505.0,SWLSANDBOX1,2019-06-28T00:00:00-05:00,2019-06-28,2019,06,28,streetscape
129,pedestrian,14922.0,SWLSANDBOX1,2019-06-29T00:00:00-05:00,2019-06-29,2019,06,29,streetscape
130,pedestrian,3598.0,SWLSANDBOX1,2019-06-30T00:00:00-05:00,2019-06-30,2019,06,30,streetscape
131,pedestrian,26.0,SWLSANDBOX1,2019-07-01T00:00:00-05:00,2019-07-01,2019,07,01,streetscape
132,pedestrian,95.0,SWLSANDBOX1,2019-07-02T00:00:00-05:00,2019-07-02,2019,07,02,streetscape
133,pedestrian,323.0,SWLSANDBOX1,2019-07-03T00:00:00-05:00,2019-07-03,2019,07,03,streetscape
134,pedestrian,291.0,SWLSANDBOX1,2019-07-04T00:00:00-05:00,2019-07-04,2019,07,04,streetscape
135,pedestrian,168.0,SWLSANDBOX1,2019-07-05T00:00:00-05:00,2019-07-05,2019,07,05,streetscape
136,pedestrian,0.0,SWLSANDBOX1,2019-07-06T00:00:00-05:00,2019-07-06,2019,07,06,streetscape
137,pedestrian,1318.0,SWLSANDBOX1,2019-07-07T00:00:00-05:00,2019-07-07,2019,07,07,streetscape
138,pedestrian,2587.0,SWLSANDBOX1,2019-07-08T00:00:00-05:00,2019-07-08,2019,07,08,streetscape
139,pedestrian,427.0,SWLSANDBOX1,2019-07-09T00:00:00-05:00,2019-07-09,2019,07,09,streetscape
140,pedestrian,2277.0,SWLSANDBOX1,2019-07-10T00:00:00-05:00,2019-07-10,2019,07,10,streetscape
141,pedestrian,979.0,SWLSANDBOX1,2019-07-11T00:00:00-05:00,2019-07-11,2019,07,11,streetscape
142,pedestrian,655.0,SWLSANDBOX1,2019-07-12T00:00:00-05:00,2019-07-12,2019,07,12,streetscape
143,pedestrian,113.0,SWLSANDBOX1,2019-07-13T00:00:00-05:00,2019-07-13,2019,07,13,streetscape
144,pedestrian,2505.0,SWLSANDBOX1,2019-07-14T00:00:00-05:00,2019-07-14,2019,07,14,streetscape
145,pedestrian,1245.0,SWLSANDBOX1,2019-07-15T00:00:00-05:00,2019-07-15,2019,07,15,streetscape
146,pedestrian,598.0,SWLSANDBOX1,2019-07-16T00:00:00-05:00,2019-07-16,2019,07,16,streetscape
147,pedestrian,1884.0,SWLSANDBOX1,2019-07-17T00:00:00-05:00,2019-07-17,2019,07,17,streetscape
148,pedestrian,959.0,SWLSANDBOX1,2019-07-18T00:00:00-05:00,2019-07-18,2019,07,18,streetscape
149,pedestrian,598.0,SWLSANDBOX1,2019-07-19T00:00:00-05:00,2019-07-19,2019,07,19,streetscape
150,pedestrian,177.0,SWLSANDBOX1,2019-07-20T00:00:00-05:00,2019-07-20,2019,07,20,streetscape
151,pedestrian,2422.0,SWLSANDBOX1,2019-07-21T00:00:00-05:00,2019-07-21,2019,07,21,streetscape
152,pedestrian,2497.0,SWLSANDBOX1,2019-07-22T00:00:00-05:00,2019-07-22,2019,07,22,streetscape
153,pedestrian,745.0,SWLSANDBOX1,2019-07-23T00:00:00-05:00,2019-07-23,2019,07,23,streetscape
154,pedestrian,2017.0,SWLSANDBOX1,2019-07-24T00:00:00-05:00,2019-07-24,2019,07,24,streetscape
155,pedestrian,1278.0,SWLSANDBOX1,2019-07-25T00:00:00-05:00,2019-07-25,2019,07,25,streetscape
156,pedestrian,1047.0,SWLSANDBOX1,2019-07-26T00:00:00-05:00,2019-07-26,2019,07,26,streetscape
157,pedestrian,5.0,SWLSANDBOX1,2019-07-27T00:00:00-05:00,2019-07-27,2019,07,27,streetscape
158,pedestrian,1948.0,SWLSANDBOX1,2019-07-28T00:00:00-05:00,2019-07-28,2019,07,28,streetscape
159,pedestrian,1967.0,SWLSANDBOX1,2019-07-29T00:00:00-05:00,2019-07-29,2019,07,29,streetscape
160,pedestrian,876.0,SWLSANDBOX1,2019-07-30T00:00:00-05:00,2019-07-30,2019,07,30,streetscape
161,pedestrian,1268.0,SWLSANDBOX1,2019-07-31T00:00:00-05:00,2019-07-31,2019,07,31,streetscape
162,pedestrian,1780.0,SWLSANDBOX1,2019-08-01T00:00:00-05:00,2019-08-01,2019,08,01,streetscape
163,pedestrian,516.0,SWLSANDBOX1,2019-08-02T00:00:00-05:00,2019-08-02,2019,08,02,streetscape
164,pedestrian,5.0,SWLSANDBOX1,2019-08-03T00:00:00-05:00,2019-08-03,2019,08,03,streetscape
165,pedestrian,392.0,SWLSANDBOX1,2019-08-04T00:00:00-05:00,2019-08-04,2019,08,04,streetscape
166,pedestrian,18.0,SWLSANDBOX1,2019-08-05T00:00:00-05:00,2019-08-05,2019,08,05,streetscape
167,pedestrian,1018.0,SWLSANDBOX1,2019-08-06T00:00:00-05:00,2019-08-06,2019,08,06,streetscape
168,pedestrian,586.0,SWLSANDBOX1,2019-08-07T00:00:00-05:00,2019-08-07,2019,08,07,streetscape
169,pedestrian,1463.0,SWLSANDBOX1,2019-08-08T00:00:00-05:00,2019-08-08,2019,08,08,streetscape
170,pedestrian,1000.0,SWLSANDBOX1,2019-08-09T00:00:00-05:00,2019-08-09,2019,08,09,streetscape
171,pedestrian,59.0,SWLSANDBOX1,2019-08-10T00:00:00-05:00,2019-08-10,2019,08,10,streetscape
172,pedestrian,2550.0,SWLSANDBOX1,2019-08-11T00:00:00-05:00,2019-08-11,2019,08,11,streetscape
173,pedestrian,1688.0,SWLSANDBOX1,2019-08-12T00:00:00-05:00,2019-08-12,2019,08,12,streetscape
174,pedestrian,923.0,SWLSANDBOX1,2019-08-13T00:00:00-05:00,2019-08-13,2019,08,13,streetscape
175,pedestrian,599.0,SWLSANDBOX1,2019-08-14T00:00:00-05:00,2019-08-14,2019,08,14,streetscape
176,pedestrian,4458.0,SWLSANDBOX1,2019-08-15T00:00:00-05:00,2019-08-15,2019,08,15,streetscape
177,pedestrian,1015.0,SWLSANDBOX1,2019-08-16T00:00:00-05:00,2019-08-16,2019,08,16,streetscape
178,pedestrian,75.0,SWLSANDBOX1,2019-08-17T00:00:00-05:00,2019-08-17,2019,08,17,streetscape
179,pedestrian,2979.0,SWLSANDBOX1,2019-08-18T00:00:00-05:00,2019-08-18,2019,08,18,streetscape
180,pedestrian,1515.0,SWLSANDBOX1,2019-08-19T00:00:00-05:00,2019-08-19,2019,08,19,streetscape
181,pedestrian,1500.0,SWLSANDBOX1,2019-08-20T00:00:00-05:00,2019-08-20,2019,08,20,streetscape
182,pedestrian,733.0,SWLSANDBOX1,2019-08-21T00:00:00-05:00,2019-08-21,2019,08,21,streetscape
183,pedestrian,437.0,SWLSANDBOX1,2019-08-22T00:00:00-05:00,2019-08-22,2019,08,22,streetscape
184,pedestrian,361.0,SWLSANDBOX1,2019-08-23T00:00:00-05:00,2019-08-23,2019,08,23,streetscape
185,pedestrian,114.0,SWLSANDBOX1,2019-08-24T00:00:00-05:00,2019-08-24,2019,08,24,streetscape
186,pedestrian,5715.0,SWLSANDBOX1,2019-08-25T00:00:00-05:00,2019-08-25,2019,08,25,streetscape
187,pedestrian,1052.0,SWLSANDBOX1,2019-08-26T00:00:00-05:00,2019-08-26,2019,08,26,streetscape
188,pedestrian,336.0,SWLSANDBOX1,2019-08-27T00:00:00-05:00,2019-08-27,2019,08,27,streetscape
189,pedestrian,743.0,SWLSANDBOX1,2019-08-28T00:00:00-05:00,2019-08-28,2019,08,28,streetscape
