mean_dwell_time,node.pct100,node.pct25,node.pct50,node.pct75,node.serialno,node.time,date,year,month,day,location
14.44,928.78,2.55,4.71,10.36,SWLSANDBOX1,2019-08-22T00:00:00-05:00,2019-08-22,2019,08,22,streetscape
24.96,1440.2,3.12,6.24,15.61,SWLSANDBOX1,2019-08-23T00:00:00-05:00,2019-08-23,2019,08,23,streetscape
44.98,2910.51,5.22,10.38,23.92,SWLSANDBOX1,2019-08-24T00:00:00-05:00,2019-08-24,2019,08,24,streetscape
21.56,1431.86,3.05,7.22,19.24,SWLSANDBOX1,2019-08-25T00:00:00-05:00,2019-08-25,2019,08,25,streetscape
25.39,1006.04,2.62,6.2,17.17,SWLSANDBOX1,2019-08-26T00:00:00-05:00,2019-08-26,2019,08,26,streetscape
23.21,576.15,3.13,5.77,17.71,SWLSANDBOX1,2019-08-27T00:00:00-05:00,2019-08-27,2019,08,27,streetscape
21.17,523.65,2.61,6.25,17.17,SWLSANDBOX1,2019-08-28T00:00:00-05:00,2019-08-28,2019,08,28,streetscape
15.72,308.05,2.65,5.7,13.05,SWLSANDBOX1,2019-08-29T00:00:00-05:00,2019-08-29,2019,08,29,streetscape
12.13,656.72,3.12,5.78,9.44,SWLSANDBOX1,2019-08-30T00:00:00-05:00,2019-08-30,2019,08,30,streetscape
4.46,12.46,2.62,3.66,6.2,SWLSANDBOX1,2019-08-31T00:00:00-05:00,2019-08-31,2019,08,31,streetscape
102.05,17877.87,3.13,5.71,9.88,SWLSANDBOX1,2019-09-01T00:00:00-05:00,2019-09-01,2019,09,01,streetscape
116.49,5763.52,7.32,13.6,36.4,SWLSANDBOX1,2019-09-02T00:00:00-05:00,2019-09-02,2019,09,02,streetscape
33.36,3850.23,3.62,7.78,16.12,SWLSANDBOX1,2019-09-03T00:00:00-05:00,2019-09-03,2019,09,03,streetscape
24.56,326.19,3.06,7.23,20.32,SWLSANDBOX1,2019-09-04T00:00:00-05:00,2019-09-04,2019,09,04,streetscape
16.91,394.65,3.59,6.81,13.98,SWLSANDBOX1,2019-09-05T00:00:00-05:00,2019-09-05,2019,09,05,streetscape
27.79,755.19,3.14,8.87,24.55,SWLSANDBOX1,2019-09-06T00:00:00-05:00,2019-09-06,2019,09,06,streetscape
3.03,4.16,2.62,3.12,3.68,SWLSANDBOX1,2019-09-07T00:00:00-05:00,2019-09-07,2019,09,07,streetscape
14.5,262.45,2.63,5.75,15.09,SWLSANDBOX1,2019-09-08T00:00:00-05:00,2019-09-08,2019,09,08,streetscape
31.07,2813.2,3.07,6.31,18.23,SWLSANDBOX1,2019-09-09T00:00:00-05:00,2019-09-09,2019,09,09,streetscape
22.87,995.8,3.07,6.78,18.73,SWLSANDBOX1,2019-09-10T00:00:00-05:00,2019-09-10,2019,09,10,streetscape
17.04,3103.02,2.61,5.74,14.59,SWLSANDBOX1,2019-09-11T00:00:00-05:00,2019-09-11,2019,09,11,streetscape
